ID,Status,Phase,Reason
0x0267,SAFE,Gameplay,
0x0268,SAFE,Gameplay,
0x0269,SAFE,Gameplay,
0x026A,SAFE,Gameplay,
0x026B,SAFE,Gameplay,
0x026C,SAFE,Gameplay,
0x026D,SAFE,Gameplay,
0x026E,SAFE,Gameplay,
0x026F,SAFE,Gameplay,
0x0270,SAFE,Gameplay,
0x0271,SAFE,Gameplay,
0x0272,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0273,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0274,SAFE,Gameplay,
0x0275,SAFE,Gameplay,
0x0276,SAFE,Gameplay,
0x0277,SAFE,Gameplay,
0x0278,SAFE,Gameplay,
0x0279,SAFE,Gameplay,
0x027A,SAFE,Gameplay,
0x027B,SAFE,Gameplay,
0x027C,SAFE,Gameplay,
0x027D,SAFE,Gameplay,
0x027E,SAFE,Gameplay,
0x027F,SAFE,Gameplay,
0x0280,SAFE,Gameplay,
0x0281,SAFE,Gameplay,
0x0282,SAFE,Gameplay,
0x0283,SAFE,Gameplay,
0x0284,SAFE,Gameplay,
0x0285,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0286,SAFE,Gameplay,
0x0287,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0288,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0289,SAFE,Gameplay,
0x028A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x028B,SAFE,Gameplay,
0x028C,SAFE,Gameplay,
0x028D,SAFE,Gameplay,
0x028E,SAFE,Gameplay,
0x028F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0290,SAFE,Gameplay,
0x0291,SAFE,Gameplay,
0x0292,SAFE,Gameplay,
0x0293,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0294,SAFE,Gameplay,
0x0295,SAFE,Gameplay,
0x0296,SAFE,Gameplay,
0x0297,SAFE,Gameplay,
0x0298,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0299,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x029A,CRASH,Other (0x84),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x029B,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x029C,SAFE,Gameplay,
0x029D,SAFE,Gameplay,
0x029E,SAFE,Gameplay,
0x029F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x02A0,SAFE,Gameplay,
0x02A1,SAFE,Gameplay,
0x02A2,SAFE,Gameplay,
0x02A3,SAFE,Gameplay,
0x02A4,SAFE,Gameplay,
0x02A5,SAFE,Gameplay,
0x02A6,SAFE,Gameplay,
0x02A7,SAFE,Gameplay,
0x02A8,SAFE,Gameplay,
0x02A9,SAFE,Gameplay,
0x02AA,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x02AB,SAFE,Gameplay,
0x02AC,SAFE,Other (0x15),
0x02AD,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x02AE,SAFE,Gameplay,
0x02AF,SAFE,Gameplay,
0x02B0,SAFE,Gameplay,
0x02B1,SAFE,Gameplay,
0x02B2,SAFE,Gameplay,
0x02B3,SAFE,Gameplay,
0x02B4,SAFE,Gameplay,
0x02B5,SAFE,Gameplay,
0x02B6,SAFE,Gameplay,
0x02B7,SAFE,Gameplay,
0x02B8,SAFE,Gameplay,
0x02B9,SAFE,Gameplay,
0x02BA,SAFE,Gameplay,
0x02BB,SAFE,Gameplay,
0x02BC,SAFE,Gameplay,
0x02BD,SAFE,Gameplay,
0x02BE,SAFE,Gameplay,
